Units,Lessons,Default_lesson_weights,weeks
Estimation and rounding,16,0.10810810810810811,4
Sequences,12,0.08108108108108109,3
Graphical representations of linear equations,15,0.10135135135135136,4
Solving linear equations,17,0.11486486486486487,4
Understanding multiplicative relationships: percentages and proportionality,16,0.10810810810810811,4
Graphical representations of data,11,0.07432432432432433,3
Numerical summaries of data,19,0.12837837837837837,4
"Perimeter, area and volume",16,0.10810810810810811,4
Geometrical properties: polygons,16,0.10810810810810811,4
Constructions,10,0.06756756756756757,2
